iter	Logloss
0	0.5679148574
1	0.484847254
2	0.4329581252
3	0.392550275
4	0.3632888302
5	0.3352358638
6	0.3165020836
7	0.2990887821
8	0.2859410487
9	0.276802992
10	0.2672872591
11	0.2605482119
12	0.2545545515
13	0.2503011029
14	0.2471887315
15	0.2436703736
16	0.2411375723
17	0.2390573601
18	0.2373121251
19	0.2357132
20	0.2345452194
21	0.2328825837
22	0.2316629009
23	0.2306320767
24	0.2293811449
25	0.2283711664
26	0.2278853852
27	0.2274288497
28	0.2271514868
29	0.2267175013
30	0.2262060805
31	0.2257736871
32	0.2255599164
33	0.2252579102
34	0.2249151556
35	0.2244864472
36	0.2242665339
37	0.2240274425
38	0.2236490728
39	0.223490158
40	0.223335583
41	0.2231939531
42	0.2225870594
43	0.2223789399
44	0.2222520591
45	0.2221686943
46	0.2220907395
47	0.221993592
48	0.2219059138
49	0.2218459241
50	0.221777008
51	0.2217088763
52	0.2216388642
53	0.2215913885
54	0.2213653786
55	0.2212952412
56	0.2212556716
57	0.2211974551
58	0.2210004444
59	0.2209566745
60	0.2208960136
61	0.2208631889
62	0.2208053254
63	0.2207428736
64	0.2207159736
65	0.2206839585
66	0.2206345283
67	0.2205891728
68	0.2205321463
69	0.220476228
70	0.2204200495
71	0.2203969508
72	0.2203787559
73	0.2203173361
74	0.220282247
75	0.2202508864
76	0.2202196808
77	0.2201969163
78	0.2201792124
79	0.2200234317
80	0.2200081055
81	0.2199713252
82	0.2199427579
83	0.219919198
84	0.219896672
85	0.2198824336
86	0.2198625087
87	0.2198500633
88	0.2198349068
89	0.2197979337
90	0.2197792005
91	0.219743722
92	0.2196728525
93	0.2196480194
94	0.2196354052
95	0.2196229396
96	0.2196129428
97	0.2195844878
98	0.2195617891
99	0.219540161
100	0.2195329709
101	0.2195232437
102	0.219465401
103	0.2194444942
104	0.2194285857
105	0.2194066951
106	0.2193949321
107	0.2193699442
108	0.2193567281
109	0.2192966966
110	0.2192797317
111	0.219264481
112	0.2192512005
113	0.2192448844
114	0.2192174372
115	0.2191655409
116	0.2191490359
117	0.2190574599
118	0.2190451115
119	0.2189841483
120	0.2189811753
121	0.2189726017
122	0.2189510338
123	0.2189382616
124	0.2189283123
125	0.2189067619
126	0.2188961585
127	0.2188845587
128	0.2188826157
129	0.2188684697
130	0.2188505363
131	0.2188477039
132	0.2188319535
133	0.218831946
134	0.2188198328
135	0.218813489
136	0.2188029355
137	0.2187920588
138	0.2187801706
139	0.2187749948
140	0.2187242439
141	0.2186549012
142	0.2186357202
143	0.2186250208
144	0.2186194204
145	0.2186101225
146	0.2186094735
147	0.2186070094
148	0.2185966617
149	0.2185650161
150	0.2185601669
151	0.21855615
152	0.2185510396
153	0.218524365
154	0.2185100511
155	0.2185012398
156	0.2183786312
157	0.2183410385
158	0.2183346664
159	0.2183292418
160	0.2183132132
161	0.2182852452
162	0.2182653715
163	0.2182529912
164	0.218248036
165	0.2182406404
166	0.218219444
167	0.2181829117
168	0.2181662234
169	0.218157646
170	0.2181382632
171	0.2181301296
172	0.2181081929
173	0.2180884713
174	0.2180649422
175	0.2180554068
176	0.2180016773
177	0.2179839276
178	0.2179777363
179	0.2179672733
180	0.2179582739
181	0.217946092
182	0.2179228459
183	0.2179071632
184	0.2178939092
185	0.217844904
186	0.2178257856
187	0.2178181479
188	0.2177765561
189	0.217768646
190	0.2177449085
191	0.2177315629
192	0.2177232159
193	0.2177062866
194	0.2176994395
195	0.21769078
196	0.2176790414
197	0.2176278007
198	0.2176163205
199	0.2176092828
200	0.2175973281
201	0.2175783964
202	0.2175687856
203	0.2175576685
204	0.2175426505
205	0.2175342562
206	0.217494011
207	0.217472735
208	0.217465119
209	0.2174152493
210	0.2174019182
211	0.2173906854
212	0.2173843277
213	0.2173670894
214	0.2173576521
215	0.2173530709
216	0.2173454998
217	0.2173397389
218	0.2173299652
219	0.2173235854
220	0.2172974716
221	0.2172790134
222	0.2172728975
223	0.217240256
224	0.2172336494
225	0.2172242764
226	0.2172189072
227	0.2172108727
228	0.2172057731
229	0.2171985093
